Date,BCH-USD,BTC-USD,LEO-USD,STETH-USD
2023-05-22,114.77024841308594,26851.27734375,3.5131239891052246,1805.3072509765625
2023-05-23,115.65068054199219,27225.7265625,3.5163369178771973,1840.130859375
2023-05-24,112.18870544433594,26334.818359375,3.568411111831665,1796.37109375
2023-05-25,111.94451904296875,26476.20703125,3.567905902862549,1791.9241943359375
2023-05-26,113.27008819580078,26719.291015625,3.5213680267333984,1817.9615478515625
2023-05-27,113.9607162475586,26868.353515625,3.506135940551758,1816.2911376953125
2023-05-28,116.52263641357422,28085.646484375,3.533687114715576,1909.9722900390625
2023-05-29,114.98091125488281,27745.884765625,3.5555338859558105,1885.660400390625
2023-05-30,114.1355972290039,27702.349609375,3.5107030868530273,1897.069580078125
2023-05-31,113.2657241821289,27219.658203125,3.4913830757141113,1864.18115234375
2023-06-01,113.36608123779297,26819.97265625,3.4995059967041016,1850.21728515625
2023-06-02,114.82804107666016,27249.58984375,3.6106390953063965,1903.46337890625
2023-06-03,114.92384338378906,27075.12890625,3.5762040615081787,1889.25732421875
2023-06-04,115.72877502441406,27119.06640625,3.585930109024048,1881.4677734375
2023-06-05,108.79646301269531,25760.09765625,3.513901948928833,1804.966552734375
2023-06-06,114.7855453491211,27238.783203125,3.5167229175567627,1872.4144287109375
2023-06-07,111.18528747558594,26345.998046875,3.5151760578155518,1824.88525390625
2023-06-08,111.77751159667969,26508.216796875,3.5366909503936768,1831.9979248046875
2023-06-09,110.77734375,26480.375,3.5019469261169434,1830.4989013671875
2023-06-10,103.61753845214844,25851.240234375,3.5031590461730957,1741.974609375
2023-06-11,102.82831573486328,25940.16796875,3.5508110523223877,1746.110595703125
2023-06-12,102.72838592529297,25902.5,3.506972074508667,1733.901123046875
2023-06-13,105.27336883544922,25918.728515625,3.4933719635009766,1736.1080322265625
2023-06-14,101.79300689697266,25124.67578125,3.514272928237915,1649.781982421875
2023-06-15,104.71800994873047,25576.39453125,3.503438949584961,1669.4190673828125
2023-06-16,108.06197357177734,26327.462890625,3.523444890975952,1714.5858154296875
2023-06-17,106.69098663330078,26510.67578125,3.517301082611084,1720.5367431640625
2023-06-18,107.03558349609375,26336.212890625,3.5143139362335205,1720.9605712890625
2023-06-19,106.7096939086914,26851.029296875,3.5270180702209473,1731.9881591796875
2023-06-20,109.89054870605469,28327.48828125,3.5309739112854004,1779.1839599609375
2023-06-21,136.005615234375,30027.296875,3.5801498889923096,1877.3709716796875
2023-06-22,133.963623046875,29912.28125,3.72843599319458,1873.829833984375
2023-06-23,181.7744598388672,30695.46875,3.829669952392578,1887.929443359375
2023-06-24,213.7257537841797,30548.6953125,3.92966890335083,1868.1788330078125
2023-06-25,195.39999389648438,30480.26171875,3.836729049682617,1893.6300048828125
2023-06-26,223.4814453125,30271.130859375,3.870944023132324,1848.2568359375
2023-06-27,230.1822509765625,30688.1640625,3.914767026901245,1884.01123046875
2023-06-28,225.38499450683594,30086.24609375,3.997960090637207,1818.458251953125
2023-06-29,253.4472198486328,30445.3515625,4.100299835205078,1841.457275390625
2023-06-30,305.0069580078125,30477.251953125,3.9586610794067383,1920.2119140625
2023-07-01,290.7802734375,30590.078125,4.146113872528076,1917.2305908203125
2023-07-02,298.8141174316406,30620.76953125,3.853684902191162,1923.4073486328125
2023-07-03,288.7218322753906,31156.439453125,3.840517997741699,1938.415283203125
2023-07-04,272.4275817871094,30777.58203125,3.906651020050049,1934.6029052734375
2023-07-05,271.9447021484375,30514.166015625,3.870706081390381,1906.6142578125
2023-07-06,277.2987365722656,29909.337890625,3.6673998832702637,1838.7760009765625
2023-07-07,278.42181396484375,30342.265625,3.8638510704040527,1859.21044921875
2023-07-08,271.9184875488281,30292.541015625,3.886884927749634,1842.6043701171875
2023-07-09,265.5489807128906,30171.234375,3.9989020824432373,1855.8740234375
2023-07-10,274.58551025390625,30414.470703125,4.034421920776367,1875.2928466796875
2023-07-11,274.0305480957031,30620.951171875,4.076952934265137,1873.6663818359375
2023-07-12,282.50115966796875,30391.646484375,4.048852920532227,1870.12109375
2023-07-13,274.3050231933594,31476.048828125,4.120084762573242,1994.9781494140625
2023-07-14,264.3955078125,30334.068359375,4.020362854003906,1934.216064453125
2023-07-15,253.33291625976562,30295.806640625,4.030578136444092,1925.2215576171875
2023-07-16,249.92123413085938,30249.1328125,4.024407863616943,1919.410888671875
2023-07-17,242.3697052001953,30145.888671875,3.985150098800659,1905.494140625
2023-07-18,244.37628173828125,29856.5625,4.004464149475098,1894.9251708984375
2023-07-19,244.3693389892578,29913.923828125,3.9917759895324707,1888.843017578125
2023-07-20,244.0637969970703,29792.015625,4.013053894042969,1888.98095703125
2023-07-21,246.22056579589844,29908.744140625,4.12040376663208,1889.8779296875
2023-07-22,239.2456817626953,29771.802734375,4.0314412117004395,1860.3143310546875
2023-07-23,249.65774536132812,30084.5390625,4.002508163452148,1884.691650390625
2023-07-24,238.61561584472656,29176.916015625,3.9741780757904053,1846.3585205078125
2023-07-25,237.52088928222656,29227.390625,3.9314279556274414,1856.066650390625
2023-07-26,241.8631134033203,29354.97265625,4.016808986663818,1869.1949462890625
